scipi,myscipy,moi
0.094321,0.098082,0.096781
0.019385,0.038648,0.021547
0.018630,0.037333,0.021529
0.016457,0.018435,0.021116
0.077559,0.095615,0.105714
0.019339,0.089051,0.061682
0.016200,0.061089,0.057824
0.019637,0.020333,0.021298
0.053041,0.041042,0.021231
0.079861,0.083224,0.093478
0.030380,0.037212,0.032112
0.092404,0.095442,0.097217
0.015825,0.039469,0.020412
0.020170,0.020092,0.020683
0.019343,0.040901,0.059091
0.019408,0.019471,0.020480
0.018027,0.018462,0.021174
0.016014,0.059631,0.036528
0.015861,0.038242,0.019562
0.019481,0.040640,0.020620
0.019163,0.020132,0.020715
0.019144,0.041062,0.021873
0.020608,0.020674,0.037507
0.016913,0.017407,0.020132
0.037222,0.057272,0.020879
0.017042,0.018029,0.043536
0.019837,0.020104,0.020943
0.015787,0.039704,0.021078
0.033069,0.040295,0.038816
0.018555,0.040385,0.020335
0.091474,0.105063,0.097839
0.064278,0.069859,0.079173
0.016997,0.017752,0.020371
0.024405,0.023931,0.025136
0.018927,0.061651,0.037620
0.077139,0.080695,0.095366
0.048378,0.018657,0.064456
0.091371,0.094146,0.098665
0.018911,0.040652,0.020416
0.089649,0.091926,0.099340
0.019123,0.019016,0.020568
0.090251,0.092905,0.097272
0.016468,0.046664,0.020980
0.020198,0.041660,0.058757
0.015905,0.036950,0.021367
0.026523,0.028229,0.032329
0.094427,0.097218,0.095564
0.019728,0.041135,0.021693
0.018630,0.062327,0.058053
0.037745,0.038832,0.039781
0.030507,0.031090,0.033273
0.053537,0.062898,0.039063
0.020114,0.021141,0.039290
0.019031,0.038660,0.021051
0.018627,0.062324,0.037556
0.084643,0.096315,0.088234
0.016014,0.038004,0.035617
0.020318,0.020296,0.021908
0.019209,0.062933,0.061191
0.019452,0.019901,0.021133
0.019182,0.041231,0.021956
0.018441,0.061240,0.039177
0.078308,0.080618,0.093326
0.015689,0.038078,0.019748
0.032885,0.033257,0.034861
0.018917,0.040630,0.021003
0.039144,0.040187,0.042276
0.023922,0.024159,0.025222
0.110307,0.094362,0.101020
0.019569,0.019420,0.021437
0.076362,0.081304,0.093178
0.019344,0.040749,0.021066
0.020096,0.020461,0.021636
0.093182,0.094144,0.098336
0.016664,0.017787,0.020257
0.018855,0.040078,0.020583
0.076858,0.090138,0.100843
0.016042,0.018249,0.020311
0.015833,0.059498,0.036071
0.019601,0.019641,0.020484
0.019699,0.038708,0.053551
0.019630,0.020041,0.021019
0.027121,0.028134,0.031777
0.023232,0.024223,0.028292
0.077993,0.081161,0.117117
0.018997,0.040940,0.037496
0.018972,0.040721,0.021512
0.020829,0.020940,0.022131
0.020067,0.019918,0.021078
0.091814,0.092684,0.100404
0.019399,0.019907,0.020331
0.019254,0.041664,0.050839
0.076983,0.095562,0.102111
0.019471,0.042171,0.021236
0.093875,0.095564,0.099542
0.016635,0.018346,0.020628
0.025048,0.026444,0.044511
0.038559,0.041434,0.046733
0.018678,0.040301,0.020740
0.059316,0.063196,0.069996
0.019344,0.041543,0.020913
0.015892,0.038332,0.019524
0.018991,0.058427,0.042721
0.019032,0.041758,0.020947
0.016492,0.019120,0.021893
0.056442,0.057391,0.079403
0.018863,0.040411,0.021256
0.091879,0.093441,0.097612
0.090122,0.091425,0.100244
0.091607,0.092544,0.097612
0.037492,0.038201,0.039500
0.092261,0.093644,0.096714
0.018920,0.040861,0.036588
0.036575,0.040403,0.020605
0.019343,0.041524,0.022660
0.019268,0.019246,0.043058
0.038590,0.044207,0.059825
0.015835,0.039620,0.020540
0.075589,0.081969,0.091806
0.016242,0.037959,0.057032
0.089814,0.092606,0.100537
0.016527,0.055751,0.020743
0.023354,0.023928,0.025466
0.091211,0.093005,0.099196
0.016233,0.017433,0.019801
0.090036,0.092619,0.096571
0.015973,0.039546,0.021149
0.019009,0.040990,0.037544
0.019576,0.020125,0.021239
